thread_id,brand,color_code,color_name,r,g,b
dmc_519,DMC,519,Sky Blue,125,179,191
dmc_520,DMC,520,Dark Fern Green,102,109,79
dmc_522,DMC,522,Fern Green,150,150,127
dmc_523,DMC,523,Light Fern Green,172,183,162
dmc_524,DMC,524,Very Light Fern Green,196,205,172
dmc_535,DMC,535,Very Light Ash Gray,99,100,90
dmc_543,DMC,543,Ultra Very Light Beige Brown,242,227,206
dmc_550,DMC,550,Very Dark Violet,92,24,110
dmc_552,DMC,552,Medium Violet,128,58,107
dmc_553,DMC,553,Violet,161,96,137
dmc_554,DMC,554,Light Violet,219,179,203
dmc_561,DMC,561,Very Dark Jade,0,92,73
dmc_562,DMC,562,Medium Jade,83,130,100
dmc_563,DMC,563,Light Jade,189,209,182
dmc_564,DMC,564,Very Light Jade,212,226,202
dmc_580,DMC,580,Dark Moss Green,128,110,70
dmc_581,DMC,581,Moss Green,167,145,85
dmc_597,DMC,597,Turquoise,88,164,176
dmc_598,DMC,598,Light Turquoise,185,217,214
dmc_600,DMC,600,Very Dark Cranberry,206,41,88
dmc_601,DMC,601,Dark Cranberry,214,64,101
dmc_602,DMC,602,Medium Cranberry,227,75,109
dmc_603,DMC,603,Cranberry,255,164,190
dmc_604,DMC,604,Light Cranberry,255,189,202
dmc_605,DMC,605,Very Light Cranberry,255,207,214
dmc_606,DMC,606,Bright Orange Red,250,55,20
dmc_608,DMC,608,Bright Orange,253,93,0
dmc_610,DMC,610,Dark Drab Brown,121,96,71
dmc_611,DMC,611,Drab Brown,149,114,80
dmc_612,DMC,612,Light Drab Brown,188,140,97
dmc_613,DMC,613,Very Light Drab Brown,220,194,164
